id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
6793|03/04/2018|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|COCINERO|Cuenta propia|Sin relación|N|S|S|
889|16/04/2018|||||||||||||||
3600|16/04/2018|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|Ayudante Alumno en UNICEN|Obrero o empleado|Total|S|N|S|
6969|04/07/2018|Trabajó al menos una hora|3||ADMINISTRACIÓN PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA|Poca|Poca|Permanente|35 o más horas|administración pública- Municipalidad de Juarez|Obrero o empleado|Sin relación|S|N|S|
7004|27/08/2018|||||||||||||||
2188|08/10/2018|Trabajó al menos una hora|6|Pladema|SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES|Poca|Poca|Temporaria|35 o más horas|Desarrollador|Cuenta propia|Total|S|N|S|
6556|05/11/2018|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
5797|01/02/2019|Trabajó al menos una hora|1||SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER|Poca|Poca|Permanente|35 o más horas|Desarrollar software|Obrero o empleado|Total|S|N|S|
5948|01/02/2019|No esta pensando en trabajar||||||||||||||
6373|02/02/2019|No esta pensando en trabajar||||||||||||||
7007|04/02/2019|Trabajó al menos una hora|2||INDUSTRIA MANUFACTURERA|Poca|Poca|Permanente|35 o más horas|administrativo|Obrero o empleado|Sin relación|S|N|S|
5862|04/02/2019|No esta pensando en trabajar|||||||||||N|N|N|
5256|01/03/2019|Trabajó al menos una hora|0||ENSEÑANZA|Poca|Poca|Permanente|Hasta 10 horas|ayudante alumno|Pasante|Parcial|S|N|S|
3880|02/03/2019|Trabajó al menos una hora|2|Globant||Poca|Poca|Permanente|Hasta 10 horas|WEB UI|Obrero o empleado|Total|S|N|S|
4309|07/03/2019|Trabajó al menos una hora|5|gA|SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES|Poca|Poca|Permanente|35 o más horas|Digital Business Transformation|Obrero o empleado|Total|S|N|S|
7061|07/03/2019|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
7085|07/03/2019|No esta pensando en trabajar|||||||||||N|N|N|
4865|18/03/2019|Trabajó al menos una hora||||Mucha|Mucha|Temporaria|Hasta 10 horas|Clases particulares|Cuenta propia|Parcial|N|N|N|
6381|18/03/2019|Trabajó al menos una hora|1||SERVICIOS DE HOTELERÍA Y RESTAURANTES|Poca|Mucha|Temporaria|Hasta 10 horas|Cocinar|Cuenta propia|Sin relación|N|S|S|
5113|20/03/2019|Trabajó al menos una hora|2|||Mucha|Mucha|Permanente|35 o más horas|Empleado de comercio|Patrón|Sin relación|S|N|S|
7245|21/03/2019|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
5690|27/03/2019|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
5369|05/11/2019|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
6606|03/02/2020|No esta pensando en trabajar|||||||||||N|N|N|
7870|15/07/2020|No esta pensando en trabajar|||||||||||N|N|N|
7871|15/07/2020|Trabajó al menos una hora|0|monotributista|ENSEÑANZA|Mucha|Mucha|Temporaria|Hasta 10 horas|adimistracion|Cuenta propia|Parcial|S|N|S|
7883|15/07/2020|Trabajó al menos una hora||||||Permanente|35 o más horas|Agricultor|Cuenta propia|Total|N|N|N|
5797|06/08/2020|Trabajó al menos una hora|2||SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER|Poca|Poca|Permanente|35 o más horas|Desarrollar software|Obrero o empleado|Total|S|N|S|
6748|10/08/2020|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
7452|07/02/2020|No esta pensando en trabajar|||||||||||N|N|N|
5690|14/02/2020|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
7545|19/02/2020|Trabajó al menos una hora|6||ENSEÑANZA|Poca|Nada|Temporaria|35 o más horas|Docente|Obrero o empleado|Total|N|N|S|
7560|28/02/2020|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Administrativa|Obrero o empleado|Parcial|S|N|S|
7619|30/03/2020|No esta pensando en trabajar|||||||||||N|N|N|
5857|01/10/2020|Trabajó al menos una hora|2|Universidad|ENSEÑANZA|||Temporaria|Hasta 10 horas|Ayudante alumno|Obrero o empleado|Parcial|S|N|S|
7883|01/02/2021|Trabajó al menos una hora||||||Permanente|35 o más horas|Agricultor|Cuenta propia|Total|N|N|N|
7085|02/02/2021|No esta pensando en trabajar|||||||||||N|N|N|
7419|03/02/2021|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
7615|03/02/2021|No esta pensando en trabajar|||||||||||N|N|N|
7918|03/02/2021|Trabajó al menos una hora|3|||||Temporaria|Hasta 10 horas|Técnico Informático|Cuenta propia|Sin relación|N|N|S|
5644|04/02/2021|No esta pensando en trabajar|||||||||||N|N|N|
7728|05/02/2021|No esta pensando en trabajar|||||||||||N|N|N|
7151|12/02/2021|No esta pensando en trabajar|||||||||||N|N|N|
7086|19/02/2021|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
7619|24/02/2021|No esta pensando en trabajar|||||||||||N|N|N|
8066|27/02/2021|Trabajó al menos una hora|||CONSTRUCCIÓN|||Temporaria|35 o más horas|PEÓN DE ALBAÑIL|Obrero o empleado|Sin relación|N|N|S|
8080|27/02/2021|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
