id|carrera|plan|fecha_ingreso|calidad|localidad_nacimiento|colegio_secundario|titulo_secundario
1786|206|S95|01/04/1998|P|TRES ARROYOS|ESCUELA NORMAL SUPERIOR SARMIENTO|TÉCNICO ELECTROMECANICO|
1696|206|S95|01/04/1998|E|TANDIL|MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
1696|208|2010|25/04/2014|P|TANDIL|MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
1703|206|S95|01/04/1998|E|OLAVARRIA|ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN|TÉCNICO MECANICO ELECTRICISTA|
1705|206|S95|01/04/1998|P|OLAVARRIA|||
1794|206|S95|01/04/1998|P|TANDIL|ALFONSINA STORNI|PERITO MERCANTIL C/ESP. EN ADMINISTRACION CONTABLE|
1794|213|2014|16/03/2021|A|TANDIL|ALFONSINA STORNI|PERITO MERCANTIL C/ESP. EN ADMINISTRACION CONTABLE|
1811|206|S95|01/04/1998|P|OLAVARRIA|||
1727|204|1995|01/04/1998|E||MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
1737|206|S95|01/04/1998|P|TANDIL|||
1833|206|S95|01/04/1998|P|MAR DEL PLATA|AGROTECNICA CORNELIO SAAVEDRA|TÉCNICO ELECTRONICO|
1759|206|S95|01/04/1998|P|LA PLATA|||
1753|206|S95|01/04/1998|N|MAR DEL PLATA|AGROTECNICA CORNELIO SAAVEDRA|TÉCNICO ELECTRONICO|
1863|206|S95|01/04/1999|E||COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO|PERITO MERCANTIL|
1972|206|S95|01/04/1999|P|MAR DEL PLATA|||
1882|206|S95|01/04/1999|P|TRENQUE LAUQUEN|||
1992|206|S95|01/04/1999|P|Ciudad Autónoma de Buenos Aires|||
1993|206|S95|01/04/1999|P|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ORIENTACION EN CIENCIAS ECONOMICAS|
1895|204|1995|01/04/1999|E||COLEGIO NACIONAL MONSEÑOR DOCTOR PABLO CABRERA|TÉCNICO MECANICO ELECTRICISTA|
1998|206|S95|01/04/1999|P|GENERAL PICO||PERITO MERCANTIL|
2002|206|S95|01/04/1999|P|CORDOBA|||
2009|206|S95|01/04/1999|P|MAR DEL PLATA|SANTO TOMAS DE AQUINO|BACHILLER|
2012|206|S95|01/04/1999|P|TANDIL|AGUSTIN ALVAREZ|BACHILLER COMUN|
1916|206|S95|01/04/1999|P|TANDIL|MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
2056|206|S95|01/04/1999|P|SAN MARTIN|SANTA MARIA|TÉCNICO ELECTRICISTA|
1919|206|S95|01/04/1999|P||ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ|BACHILLER AUXILIAR EN PROGRAMACION|
1919|207|1997|01/04/1999|P||ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ|BACHILLER AUXILIAR EN PROGRAMACION|
1921|206|S95|01/04/1999|P|OLAVARRIA|||
1921|213|2014|23/03/2021|A|OLAVARRIA|||
2021|201|1999|01/04/1999|N|BALCARCE|GRAL. M. S. BELGRANO||
2021|205|1995|01/04/1999|P|BALCARCE|GRAL. M. S. BELGRANO||
1923|206|S95|01/04/1999|P|MAR DEL PLATA|||
2031|206|S95|01/04/1999|P|OLAVARRIA|||
2036|206|S95|01/04/1999|P|GENERAL MADARIAGA||BACHILLER EN GESTION Y ADMINISTRACION|
1947|206|S95|01/04/1999|P|OLAVARRIA|INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS|BACHILLER EN CIENCIAS SOCIALES|
2046|206|S95|01/04/1999|P|MIRAMAR|SAN VICENTE FERRER|TÉCNICO ELECTRONICO|
2047|206|S95|01/04/1999|E||ALFONSINA STORNI|PERITO MERCANTIL|
2064|206|S95|01/04/1999|P|MAR DEL PLATA||BACHILLER EN CIENCIAS SOCIALES|
2064|207|1997|05/12/2002|P|MAR DEL PLATA||BACHILLER EN CIENCIAS SOCIALES|
2112|206|S95|01/04/2000|P|MAR DEL PLATA|||
2115|204|1995|01/04/2000|N|AZUL|4 039 CRUZ DE PIEDRA|TÉCNICO EN COMPUTACION|
2115|206|S95|01/04/2000|N|AZUL|4 039 CRUZ DE PIEDRA|TÉCNICO EN COMPUTACION|
2115|210|2000|01/04/2000|P|AZUL|4 039 CRUZ DE PIEDRA|TÉCNICO EN COMPUTACION|
2329|206|S95|01/04/2000|N|TANDIL|||
2329|210|2000|01/04/2000|N|TANDIL|||
2118|206|S95|01/04/2000|P|BOLIVAR|||
2247|206|S95|01/04/2000|P|BALCARCE|ESCUELA DE EDUCACION MEDIA NRO.3 CARMELO SANCHEZ|BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
2247|211|2004|15/07/2014|P|BALCARCE|ESCUELA DE EDUCACION MEDIA NRO.3 CARMELO SANCHEZ|BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
2247|205|2004|25/03/2021|A|BALCARCE|ESCUELA DE EDUCACION MEDIA NRO.3 CARMELO SANCHEZ|BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
2250|206|S95|01/04/2000|P||||
2078|206|S95|01/04/2000|P|Indeterminada|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER|
2251|206|S95|01/04/2000|P|LA PLATA|||
2252|206|S95|01/04/2000|P|BENITO JUAREZ|||
2335|209|1998|01/04/2000|P|TAPALQUE|MONS. AMERICO ORZALI|TÉCNICO QUIMICO|
2305|206|S95|01/04/2000|E|GENERAL PIRAN|SANTA ROSA DE LIMA|BACHILLER EN GESTION Y ADMINISTRACION|
2254|206|S95|01/04/2000|P|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ORIENTACION PEDAGOGICA|
2148|206|S95|01/04/2000|P|MAR DEL PLATA||BACHILLER BILINGüE ESP. EN LETRAS|
2149|201|1999|01/04/2000|P|BENITO JUAREZ|||
2313|209|1998|01/04/2000|P|Ciudad Autónoma de Buenos Aires|||
2157|203|1999|01/04/2000|N||AGROTECNICA GONZALO A. DOBLAS|BACHILLER CON ORIENTACION EN INFORMATICA|
2157|206|S95|01/04/2000|N||AGROTECNICA GONZALO A. DOBLAS|BACHILLER CON ORIENTACION EN INFORMATICA|
2157|209|1998|01/04/2000|P||AGROTECNICA GONZALO A. DOBLAS|BACHILLER CON ORIENTACION EN INFORMATICA|
2279|206|S95|01/04/2000|P|OLAVARRIA|J. L. BORGES||
2279|212|2007|26/02/2013|P|OLAVARRIA|J. L. BORGES||
2160|206|S95|01/04/2000|E||CACIQUE ANGACO|PERITO MERCANTIL|
2258|206|S95|01/04/2000|N|BOLIVAR|ESCUELA AGROTECNICA EJERCITO ARGENTINO |BACHILLER MERCANTIL|
2166|204|1995|01/04/2000|N|TANDIL|COLEGIO NACIONAL TEODOSIO FRANCO GARCIA|BACHILLER CON ORIENTACION EN INFORMATICA|
2166|206|S95|01/04/2000|P|TANDIL|COLEGIO NACIONAL TEODOSIO FRANCO GARCIA|BACHILLER CON ORIENTACION EN INFORMATICA|
2240|206|S95|01/04/2000|P|SANTA ROSA|||
2317|206|S95|01/04/2000|P|TANDIL|||
2259|206|S95|01/04/2000|P|MIRAMAR|||
2171|206|S95|01/04/2000|E|AYACUCHO|INSTITUTO MOMSEÑOR DR. AUDINO RODRIGUEZ Y OLMOS|TÉCNICO EN ADMINISTRACION DE EMPRESAS|
2342|206|S95|01/04/2000|P|MAR DEL PLATA|AGROINDUSTRIAL VIDELA CUELLO|PERITO MERCANTIL C/ESP. CONTABLE IMPOSITIVA Y COMPUTACION|
2393|210|2000|01/04/2000|P|TANDIL|||
2318|206|S95|01/04/2000|P|TANDIL|PBRO. FRANCISCO PEREZ HERNANDEZ|BACHILLER CON ORIENTACION CONTABLE|
2177|206|S95|01/04/2000|P|CAÑADA DE GOMEZ|||
2285|205|1995|01/04/2000|N|OLAVARRIA|||
2397|210|2000|01/04/2000|P|MAR DEL PLATA|||
2185|206|S95|01/04/2000|E|OLAVARRIA|VICTORINA L. DE NAVARRO|BACHILLER MERCANTIL|
2188|206|S95|01/04/2000|P|MERCEDES|INSTITUTO MADRE CAMILA ROLON|BACHILLER EN CIENCIAS SOCIALES|
2097|206|S95|01/04/2000|E|||BACHILLER CON ORIENTACION EN COMPUTACION|
2399|210|2000|01/04/2000|P|MAIPU|||
2099|206|S95|01/04/2000|E|MAR DEL PLATA|AGROINDUSTRIAL VIDELA CUELLO|PERITO MERCANTIL|
1387|206|S95|01/04/2000|P||||
2411|206|S95|01/04/2000|E|MAR DEL PLATA|ARTURO ALESSANDRI PALMA|TÉCNICO EN ADMINISTRACION DE EMPRESAS|
2403|210|2000|01/04/2000|E|COMODORO RIVADAVIA|ANGEL DOMINGO ROJAS|TÉCNICO MECANICO|
2407|210|2000|01/04/2000|N|TANDIL|||
2267|206|S95|01/04/2000|P|SAN MARTIN|SAN PABLO|BACHILLER CON ORIENTACION SOCIAL|
2267|212|2007|05/09/2007|P|SAN MARTIN|SAN PABLO|BACHILLER CON ORIENTACION SOCIAL|
2408|210|2000|01/04/2000|P|BOLIVAR|||
2106|206|S95|01/04/2000|P|MAR DEL PLATA|||
2348|203|1999|01/04/2000|N|MAR DEL PLATA|||
2348|209|1998|01/04/2000|N|MAR DEL PLATA|||
2418|201|2004|01/04/2001|P||COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ESPECIALIZACION EN GESTION Y ADMINISTRACION|
2418|205|1995|01/04/2001|E||COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ESPECIALIZACION EN GESTION Y ADMINISTRACION|
2418|213|2014|18/03/2021|P||COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ESPECIALIZACION EN GESTION Y ADMINISTRACION|
2645|206|S95|01/04/2001|P|MAR DEL PLATA|AGROINDUSTRIAL 25 DE MAYO|BACHILLER EN CIENCIAS EXACTAS Y NATURALES|
2419|206|S95|01/04/2001|E|MAR DEL PLATA||BACHILLER|
2649|206|S95|01/04/2001|P|SAN CARLOS DE BARILOCHE|||
2549|206|S95|01/04/2001|P|MAR DEL PLATA|ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO EN COMPUTACION|
2475|205|1995|01/04/2001|N|TANDIL|ESCUELA DE EDUCACION MEDIA N° 8 "FUERTE DE LA INDEPENDENCIA"                                        |PERITO MERCANTIL CON ORIENT. EN ADMINISTRACION Y CONTABILIDAD|
2475|213|2014|07/03/2019|P|TANDIL|ESCUELA DE EDUCACION MEDIA N° 8 "FUERTE DE LA INDEPENDENCIA"                                        |PERITO MERCANTIL CON ORIENT. EN ADMINISTRACION Y CONTABILIDAD|
2554|206|S95|01/04/2001|P|SAN SALVADOR DE JUJUY|||
2497|206|S95|01/04/2001|P|MAR DEL PLATA|||
2656|206|S95|01/04/2001|E||ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO ELECTRONICO|
2561|206|S95|01/04/2001|P|TANDIL|||
2641|206|S95|01/03/1998|E|NECOCHEA|JUAN FACUNDO QUIROGA|BACHILLER CON ORIENTACION EN ADMINISTRACION DE EMPRESAS|
2565|206|S95|01/04/2001|E|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
2565|201|1999|06/02/2003|N|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
2569|206|S95|01/04/2001|P|SANTA ROSA||BACHILLER|
2580|203|1999|01/04/2001|N|TANDIL|PROFESOR JAVIER FROILAN FERRERO|BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES|
2580|209|1998|01/04/2001|N|TANDIL|PROFESOR JAVIER FROILAN FERRERO|BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES|
2586|206|S95|01/04/2001|E|MAR DEL PLATA|EL TRANSITO DE NUESTRA SEÑORA|BACHILLER|
