id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
1312|11/03/2005|S||S||N|N|N|N||||||||||||||
1312|09/02/2004|S||S||N|||||||||||||||||
1312|20/12/2002|||||N|||||||||||||||||
1313|01/04/2002|||||N|||||||||||||||||
1320|19/02/2004|S||N||N|N|N|N||||||||||||||
1320|05/02/2007|N||S||N|N|N|N||||||||||||||
1321|01/04/2002|||||N|||||||||||||||||
1330|01/04/2002|||||N|||||||||||||||||
1330|21/04/2006|N||S||N|N|N|N||||||||||||||
1331|03/02/2004|S||S||N|||||||||||||||||
1331|19/12/2002|||||N|||||||||||||||||
1334|22/02/2004|S||N||N|||||||||||||||||
1336|01/04/2002|||||N|||||||||||||||||
1346|01/04/2002|||||N|||||||||||||||||
1350|01/04/2002|||||N|||||||||||||||||
1351|29/11/2002|||||N|||||||||||||||||
1351|28/02/2005|S||N||N|N|N|N||||||||||||||
1357|24/02/2003|||||N|||||||||||||||||
1357|18/02/2004|N||S||N|N|N|N||||||||||||||
1375|18/12/2002|||||N|||||||||||||||||
1375|03/02/2006|S||N||N|N|N|N||||||||||||||
1381|27/02/2006|N||S||N|N|N|N||||||||||||||
1393|14/02/2005|S||N||N|N|N|N||||||||||||||
1398|23/02/2004|S||S||N|||||||||||||||||
1399|01/04/2002|||||N|||||||||||||||||
1409|01/04/2002|||||N|||||||||||||||||
1409|14/03/2005|N||S||N|N|N|N||||||||||||||
1414|01/04/2002|||||N|||||||||||||||||
1427|04/03/2006|S||S||N|N|N|N||||||||||||||
1428|01/04/2002|||||N|||||||||||||||||
1430|01/04/2002|||||N|||||||||||||||||
1436|01/04/2002|||||N|||||||||||||||||
1438|01/04/2002|||||N|||||||||||||||||
1440|05/04/2008|N||S||N|N|N|N||||||||||||||
1444|01/04/2002|||||N|||||||||||||||||
1447|26/02/2004|S||N||N|N|N|N||||||||||||||
1452|12/02/2004|S||N||N|N|N|N||||||||||||||
1460|01/04/2002|||||N|||||||||||||||||
1468|13/12/2002|||||N|||||||||||||||||
1470|27/01/2007|S||N||N|N|N|N||||||||||||||
1472|04/03/2008|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1477|01/04/2002|||||N|||||||||||||||||
1483|22/02/2005|S||N||N|N|N|N||||||||||||||
1483|07/01/2008|N||S||N|N|N|N||||||||||||||
1486|01/04/2002|||||N|||||||||||||||||
1492|01/04/2002|||||N|||||||||||||||||
1494|01/04/2002|||||N|||||||||||||||||
1496|01/04/2002|||||N|||||||||||||||||
1497|02/02/2007|S||S||N|N|N|N||||||||||||||
1502|01/04/2002|||||N|||||||||||||||||
1503|01/04/2002|||||N|||||||||||||||||
1504|01/04/2002|||||N|||||||||||||||||
1507|01/04/2002|||||N|||||||||||||||||
1518|28/02/2005|S||N||N|N|N|N||||||||||||||
1523|01/04/2002|||||N|||||||||||||||||
1539|01/02/2007|N||S||N|N|N|N||||||||||||||
1539|10/03/2005|S||S||N|N|N|N||||||||||||||
1559|01/04/2002|||||N|||||||||||||||||
1562|26/03/2007|N||S||N|N|N|N||||||||||||||
1567|01/04/2002|||||N|||||||||||||||||
1569|03/12/2002|||||N|||||||||||||||||
1573|01/04/2002|||||N|||||||||||||||||
1579|01/04/2002|||||N|||||||||||||||||
1584|01/04/2002|||||N|||||||||||||||||
1597|04/02/2003|||||N|||||||||||||||||
1609|12/02/2003|||||N|||||||||||||||||
1610|27/11/2002|||||N|||||||||||||||||
1612|01/04/2002|||||N|||||||||||||||||
1641|12/02/2004|S||S||N|N|N|N||||||||||||||
1641|27/02/2008|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
