id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
3666|11/08/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3667|21/06/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3676|23/02/2012|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3679|29/03/2005|||||N|||||||||||||||||
3681|17/02/2020|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3685|02/03/2022|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3692|30/03/2005|||||N|||||||||||||||||
3699|15/02/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3701|10/03/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3721|21/06/2022|N|N|S|S|S|N|N|S|N|N|N|N|N|S|N|N|N|N|N|N||
3731|14/09/2013|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3739|17/12/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3756|18/02/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3757|22/03/2021|N|N|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3758|08/04/2005|||||N|||||||||||||||||
3759|08/04/2005|S||N||N|N|N|N||||||||||||||
3785|23/03/2005|||||N|||||||||||||||||
3793|16/02/2008|N||S||N|N|N|N||||||||||||||
