id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
2329|01/04/2002|||||||||||||||
2335|12/02/2003|||||||||||||||
2342|03/03/2010|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Programador en Area de Sistemas de la Facultad de Cs. Economicas, UNICEN|Obrero o empleado|Total|S|N|S|
2348|01/04/2002|||||||||||||||
2393|06/03/2007|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación|||1|
2397|01/04/2002|||||||||||||||
2399|01/04/2002|||||||||||||||
2403|17/12/2002||||||||Mas de 10 y hasta 20 horas|||Sin relación||||
2407|01/04/2002|||||||||||||||
2408|01/04/2002|||||||||||||||
2411|03/03/2009|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|IT Specialist|Obrero o empleado|Total|S|N|S|
2418|21/06/2022|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Investigador, Docente|Obrero o empleado|Total|S|N|S|
2419|28/11/2012|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|desarrollador de software|Obrero o empleado|Total|S|N|S|
2443|11/02/2019|Trabajó al menos una hora|4|Spark Digital|INDUSTRIA MANUFACTURERA|Poca|Poca|Permanente|35 o m¿s horas|Programador|Obrero o empleado|Total|S|N|S|
2445|01/04/2002|||||||||||||||
2446|09/03/2018|Trabajó al menos una hora|6||SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER|Nada|Nada|Permanente|35 o m¿s horas|desarrollo de soft|Obrero o empleado|Total|S|N|S|
2475|01/02/2021|Trabajó al menos una hora|6||SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER|Poca|Poca|Permanente|Hasta 10 horas|Diseño y desarrollo web|Obrero o empleado|Total|N|N|S|
2477|01/04/2002|||||||||||||||
2483|01/04/2002|||||||||||||||
2485|01/04/2002|||||||||||||||
2490|06/03/2012|No esta pensando en trabajar|||||||||||N|N|N|
2497|01/04/2002|||||||||||||||
2549|03/06/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Sin relación|||2|
2554|01/04/2002|||||||||||||||
2561|01/04/2002|||||||||||||||
2565|27/08/2012|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Desarrollador de sistema|Obrero o empleado|Total|N|N|S|
2569|11/04/2003|||||||||||||||
2580|27/04/2006|No esta pensando en trabajar||||||||||||||
2586|03/02/2007|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
2590|01/04/2002|||||||||||||||
2595|01/04/2002|||||||||||||||
2613|19/02/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación|||1|
2618|22/03/2011|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Dictado de clases (particulares y suplencia en colegio).|Cuenta propia|Parcial|N|N|S|
2631|10/05/2012|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de Software|Obrero o empleado|Total|S|N|S|
2641|17/08/2005|No esta pensando en trabajar||||||||||||||
2645|29/03/2004|No esta pensando en trabajar||||||||||||||
2649|01/04/2002|||||||||||||||
2656|21/06/2022|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Trabajo en el Data Center que depende del Rectorado, en Ayudantias y en una empresa de software|Obrero o empleado|Total|S|N|S|
2689|05/03/2018|Trabajó al menos una hora|6|||Poca|Poca|Permanente|35 o m¿s horas|Semi Senior Web Developer|Obrero o empleado|Total|S|N|S|
2704|12/04/2002|||||||||||||||
2714|02/03/2017|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|programador/consultor|Obrero o empleado|Total|S|N|S|
2721|20/03/2017|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Simulación de combustibles nucleares|Obrero o empleado|Total|S|N|S|
2724|20/04/2017|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
2733|17/02/2010|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Consultor|Obrero o empleado|Total|S|N|S|
2748|16/10/2014|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollador|Obrero o empleado|Total|S|N|S|
2754|18/12/2002|||||||||||||||
