id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
3217|18/04/2013|S|N|N|S|N|N|N|S|N|S|N|N|S|
3218|12/03/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
3222|09/04/2018|S|N|N|N|S|N|N|N|N|N|N|N|S|
3278|30/04/2003||||||||||||||
3279|04/08/2004||||||||||||||
3324|15/04/2004||||||||||||||
3335|16/04/2004||||||||||||||
3338|04/03/2006|N|||||||||||||
3339|15/03/2005||||||||||||||
3341|09/03/2009|S|S|N|S|N|N|S|N|N|N|N|N|S|
3360|05/03/2021|N|N|N|N|N|N|N|N|N|N|N|N|N|
3362|01/07/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
3389|05/02/2018|S|S|N|N|N|N|N|N|S|N|N|N|N|
3399|14/04/2004||||||||||||||
3404|13/05/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
3405|14/04/2004||||||||||||||
3411|16/04/2004||||||||||||||
3416|16/04/2004||||||||||||||
3448|20/02/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
3464|16/04/2004||||||||||||||
3489|27/02/2006|N|||||||||||||
3507|18/04/2022|S|S|N|N|N|N|N|N|N|N|N|N|S|
3518|23/04/2004|S|S|||||||S|||||
3520|23/04/2004||||||||||||||
3524|23/04/2004||||||||||||||
3539|06/04/2020|S|N|N|S|N|N|N|S|N|N|N|N|S|
3546|26/04/2004||||||||||||||
3551|02/03/2010|S|S|N|N|N|N|S|N|N|N|N|N|N|
3556|11/03/2010|S|N|N|N|S|N|N|N|N|N|N|N|S|
3557|26/04/2004||||||||||||||
3600|21/06/2022|S|N|N|S|N|N|N|N|N|N|N|N|S|
3608|07/02/2008|N|||||||||||||
3626|18/02/2016|N|N|N|N|N|N|N|N|N|N|N|N|N|
3630|17/03/2005||||||||||||||
3660|22/03/2005|N|||||||||||||
3664|10/08/2006|N|||||||||||||
3666|11/08/2010|S|S|N|N|N|N|N|S|N|N|N|N|N|
3667|21/06/2022|S|N|N|N|S|N|N|S|N|N|N|N|N|
3676|23/02/2012|N|N|N|N|N|N|N|N|N|N|N|N|N|
3679|29/03/2005||||||||||||||
